sent_to,no. PFDs,overdue,pending,received,% received
The Office of the Rail Regulator,1,1,0,0,0
The Cotswold Hunt,1,1,0,0,0
The Council of Hunting,1,1,0,0,0
The County Surveyor,1,1,0,0,0
The Crossings Hostel Hull,1,1,0,0,0
The Limes Sheltered Housing,1,0,0,1,100
The Roundwood Medical Centre,1,1,0,0,0
The Royal Bolton Hospital NHS Foundation Trust,1,1,0,0,0
The Salvation Army,1,1,0,0,0
The Samaritans,1,1,0,0,0
The Showmen’s Guild of Great Britain,1,1,0,0,0
The Stockton Public House,1,1,0,0,0
The Student Health Service,1,1,0,0,0
The Surgery Chesterton,1,1,0,0,0
The Trading Standards Institute,1,1,0,0,0
The University of South Manchester NHS Foundation Trust,1,1,0,0,0
The Village Medical Centre,1,1,0,0,0
The Rail Accident Investigation Branch,1,1,0,0,0
The Park Surgery Heanor,1,0,0,1,100
The Peak District National Park Authority,1,0,0,1,100
The Peligoni Club,1,1,0,0,0
The Phoenix Partnership,1,0,0,1,100
The Pipeline Industries Guild,1,0,0,1,100
The Practice,1,1,0,0,0
The Practice Plc,1,1,0,0,0
The Princess Royal Hospital,1,1,0,0,0
The Priory Group Ltd,1,0,0,1,100
The Professional Association of Diving Instructors,1,0,0,1,100
The RAC Motorsports Association,1,0,0,1,100
The Wallich Centre,1,0,0,1,100
The Church Inn Robinsons Brewery,1,1,0,0,0
The City of Westminster,1,1,0,0,0
Tanglewood Cloverleaf Care Home,1,0,0,1,100
Taunton Couthy Hall,1,1,0,0,0
Tees Esk and Wear Valley NHS Trust,1,0,0,1,100
Telford and Wrekin Council,1,1,0,0,0
Templemore Care Home,1,1,0,0,0
Tendring District Council,1,1,0,0,0
Terex Global Gmbh,1,0,0,1,100
Tettenhall Medical Practice,1,0,0,1,100
Thames Water,1,0,0,1,100
The Difficult Airway Society,1,1,0,0,0
Swinhoe Farm,1,0,0,1,100
Swiss Cottage Special School,1,0,0,1,100
Sydenham Green Group General Practice,1,1,0,0,0
SystemOne TPP Ltd,1,1,0,0,0
TIMCON,1,1,0,0,0
TLC Nursing and Care,1,0,0,1,100
Association of Conservative Clubs,1,1,0,0,0
Association of Independent Gas Transporters,1,1,0,0,0
Association of Independent Tour Operators,1,1,0,0,0
Association of Lorry Loader Manufacturers and Importers,1,0,0,1,100
Association of Manufacturers Of Domestic Appliances,1,1,0,0,0
The 700 Club,1,0,0,1,100
The Droylsden Road Family GP Practice,1,0,0,1,100
The Evergreen Surgery,1,1,0,0,0
The Freight Transport Association Ltd,1,1,0,0,0
The Glass and Glazing Federation,1,1,0,0,0
The Grange Care Centre,1,0,0,1,100
The Grove Medical Centre,1,1,0,0,0
The Heathers Nursing Home,1,0,0,1,100
The Hub,1,1,0,0,0
The Institution of Fire Engineers,1,1,0,0,0
The Intensive Care Society,1,1,0,0,0
The Alexandra Court Care Home,1,0,0,1,100
The Children’s Guardian,1,1,0,0,0
The Avenues Trust Group,1,1,0,0,0
The Beaufort Road Surgery,1,0,0,1,100
The Bexley Medical Group,1,0,0,1,100
The Black Country Family Practice,1,1,0,0,0
The Borchardt Medical Centre,1,1,0,0,0
The British Army,1,1,0,0,0
The British Retail Consortium,1,1,0,0,0
The British Thoracic Society,1,0,0,1,100
The Caravan Club,1,1,0,0,0
The Chartered Society of Forensic Scientists,1,1,0,0,0
The Chief Executive of the Energy and Utilities Skills,1,1,0,0,0
The Association of Pallet Networks,1,1,0,0,0
HM Prison Grendon,1,1,0,0,0
Gwern Alyn House Residential Home,1,0,0,1,100
HAE Ltd,1,1,0,0,0
HCRG Care Services Ltd,1,1,0,0,0
HICA Group,1,0,0,1,100
"Commissioning Manager, Drug and Alcohol Action Team",1,0,0,1,100
Community Mental Health Recovery Services,1,0,0,1,100
Compass Wellbeing,1,0,0,1,100
Compliance Manager,1,1,0,0,0
Compton Lodge Care Home,1,0,0,1,100
National Rail,1,0,0,1,100
Connaught House Care Home,1,1,0,0,0
Clatterbridge Cancer Centre,1,0,0,1,100
Cleric Computer Services,1,0,0,1,100
Clevedon Medical Centre,1,1,0,0,0
Cleveland Police,1,1,0,0,0
Cleveland Police Roads Policing Unit,1,1,0,0,0
Clevermed Limited,1,0,0,1,100
Clifton Court Nursing Home,1,0,0,1,100
Clifton Suspension Bridge Trust,1,0,0,1,100
HM Inspectorate of Probation,1,1,0,0,0
HM Principle Specialist Inspector,1,1,0,0,0
Congenital Heart Services Clinical Reference Group,1,1,0,0,0
HM Prison Lancaster Farms,1,1,0,0,0
HM Prison Leicester,1,0,0,1,100
HM Prison Liverpool,1,1,0,0,0
Clinical Commissioning Group for South Central and North Manchester,1,1,0,0,0
Clinical Commissioning Group for Wandsworth,1,1,0,0,0
"Clinical, Commissioning Group",1,0,0,1,100
Clinisys UK,1,1,0,0,0
Coal Authority,1,0,0,1,100
Coed Duon Care Home,1,0,0,1,100
Christian Congregation of Jehova’s Witnesses,1,0,0,1,100
Church Elm Lane Medical Practice,1,0,0,1,100
HM Prison Fosse Way,1,1,0,0,0
Church of England,1,0,0,1,100
Churchers Solicitors,1,1,0,0,0
City Health Care Partnership,1,0,0,1,100
City and County Healthcare Group,1,0,0,1,100
HM Prison Lowdham Grange,1,1,0,0,0
HM Prison Ranby,1,1,0,0,0
HM Prison Bristol,1,1,0,0,0
HM Prison Cookham Wood,1,0,0,1,100
HM Prison Dartmoor,1,0,0,1,100
HM Prison Doncaster,1,1,0,0,0
HM Prison Forest Bank,1,1,0,0,0
Church Lane Surgery,1,0,0,1,100
General Council,1,0,0,1,100
General Optical Council,1,0,0,1,100
Glan Clwyd Hospital,1,0,0,1,100
Glebelands Care Team,1,1,0,0,0
Coronary Heart Disease Review,1,1,0,0,0
Coronary Heart Disease Review’s Clinical Advisory Panel,1,1,0,0,0
Corporation of the City of London,1,1,0,0,0
Cosmetic Toiletry and Perfume Association,1,1,0,0,0
Council of Psychotherapy,1,1,0,0,0
Collaborative Mobility UK,1,1,0,0,0
HM Prison Altcourse,1,1,0,0,0
Collingwood Nursing Home,1,1,0,0,0
Colton Lodges Nursing Home,1,1,0,0,0
Comfort Call Limited,1,0,0,1,100
Glenholme Holdingham Grange Care Home,1,0,0,1,100
Glenroyd Medical Practice,1,1,0,0,0
Globe Court Care Home,1,0,0,1,100
Gloucestershire Constabulary,1,0,0,1,100
Future Health and Social Care Association,1,1,0,0,0
GE Healthcare,1,0,0,1,100
GEO Group UK Ltd,1,0,0,1,100
GRS Recovery,1,0,0,1,100
College of Clinical Perfusion Scientists,1,1,0,0,0
HM Prison Berwyn,1,1,0,0,0
Great Western Railway,1,0,0,1,100
Great Yarmouth Borough Council,1,0,0,1,100
Greater Manchester Medicines Management Group,1,0,0,1,100
Greater Manchester Neurorehabilitation Integrated Stroke Delivery Network,1,1,0,0,0
Green Lane Care Homes Limited,1,1,0,0,0
Green Porch Medical Centre,1,0,0,1,100
Green Surgery,1,0,0,1,100
Greenbrook Healthcare,1,0,0,1,100
Greenrod Place,1,1,0,0,0
Guest Medical,1,1,0,0,0
Gray’s Inn Road Medical Centre,1,0,1,0,0
Gloucestershire Police,1,1,0,0,0
Gloucestershire Social Services,1,1,0,0,0
Goals Soccer Centres PLC,1,1,0,0,0
Godfrey Care,1,0,0,1,100
Good Hope Hospital,1,0,0,1,100
"Government of Nepal Ministry of Culture, Tourism and Civil Aviation",1,1,0,0,0
Grange Care Home,1,1,0,0,0
Grange Clinic,1,1,0,0,0
Grasmere Surgery,1,0,0,1,100
Grassy Meadow Care Centre,1,0,0,1,100
Gravesham Borough Council,1,0,0,1,100
Guinness Care,1,1,0,0,0
High Commissioner for Saint Lucia to the UK,1,1,0,0,0
High St Surgery,1,1,0,0,0
Highgrove Rest Home,1,0,0,1,100
Highlands and Trafalgar Square Surgery,1,0,0,1,100
Hillbrook Grange Residential Care Home,1,0,0,1,100
Hillingdon Council,1,0,0,1,100
Head of Safeguarding,1,1,0,0,0
Health Education East of England,1,0,0,1,100
Health Education and Improvement Wales,1,0,0,1,100
Healthcare Homes,1,1,0,0,0
HM Prison Humber,1,1,0,0,0
Healthcare Quality Improvement Partnership,1,0,0,1,100
Heathcotes Group,1,0,0,1,100
Heathrow Airport,1,0,0,1,100
Heaton Medical Centre,1,1,0,0,0
Heaton Norris Health Centre,1,1,0,0,0
Happy at Home Community Care Services Ltd,1,0,1,0,0
Harden & Bingley Park Ltd,1,0,0,1,100
Harmoni,1,0,0,1,100
Harmoni HS,1,1,0,0,0
Harmoni South East,1,1,0,0,0
Harrogate District Hospital,1,1,0,0,0
Healthcare Management Solutions Ltd,1,1,0,0,0
Hull City Council,1,1,0,0,0
Human Race Limited,1,0,0,1,100
Human Resources,1,1,0,0,0
Hilltops Medical Centre,1,1,0,0,0
Hilton Hotel,1,0,0,1,100
Himalayan Encounters,1,1,0,0,0
Hinchingbrooke Hospital,1,0,0,1,100
Hindley Health Centre Pharmacy,1,1,0,0,0
Hirst Electrical Plant Hire Services UK Ltd,1,0,0,1,100
Holme Farm,1,0,0,1,100
Holmes Care Group Limited,1,1,0,0,0
Heywood Health,1,1,0,0,0
Holy Cross Hospital,1,0,0,1,100
Home Affairs,1,1,0,0,0
Home Care Support Limited,1,1,0,0,0
Home Dot Care Limited,1,1,0,0,0
Home Farm Trust Limited,1,0,0,1,100
Home Group,1,1,0,0,0
Hereford Medical Group,1,0,0,1,100
Heritage Attractions Ltd,1,1,0,0,0
Herries Lodge Care Home,1,1,0,0,0
Herts Urgent care Limited,1,1,0,0,0
Hewett School,1,1,0,0,0
Holmleigh Care Homes Ltd,1,0,0,1,100
HMP Featherstone,1,0,0,1,100
City and Hackney GP Confederation,1,1,0,0,0
City of Westminster,1,0,0,1,100
City of York Council,1,1,0,0,0
Clacton Community Practices,1,0,0,1,100
Cheshire Fire and Rescue Service,1,1,0,0,0
Chief Constables,1,1,0,0,0
Chief Coroner of England and Wales,1,1,0,0,0
HMP Frankland,1,1,0,0,0
HMP Lincoln,1,1,0,0,0
Harry Sotnick House,1,1,0,0,0
HMP Northumberland,1,0,0,1,100
HMP Parc,1,1,0,0,0
HMP Rye Hill,1,1,0,0,0
HMP Wayland,1,1,0,0,0
HM Prison Rye Hill,1,1,0,0,0
HM Prison Spring Hill,1,0,0,1,100
HM Prison Styal,1,1,0,0,0
HM Prison Swinfen Hall,1,1,0,0,0
HM Prison The Mount,1,1,0,0,0
HM Prison High Down,1,1,0,0,0
HM Prison Highpoint,1,1,0,0,0
HMP North Sea Camp,1,1,0,0,0
Hart Care Nursing and Residential Home,1,0,0,1,100
Hartlepool Borough Council,1,0,0,1,100
Haughton Thornley Medical Centres,1,0,0,1,100
Haulage Contractors Limited,1,1,0,0,0
Haven Day Care Centre,1,1,0,0,0
Hawthorn Green Care Home,1,1,0,0,0
Hazelmere Medical Centre,1,0,0,1,100
HR Healthcare Ltd,1,1,0,0,0
HSB Engineering Insurance Services Limited,1,1,0,0,0
HSE Soilmec Limited,1,1,0,0,0
Hackney Alcohol Recovery Centre,1,1,0,0,0
HMP Downview,1,1,0,0,0
Hainault Surgery,1,1,0,0,0
Halfords Group PLC,1,1,0,0,0
Hamerton Zoological Park,1,1,0,0,0
Hamilton Community Homes Ltd,1,0,0,1,100
Handicare Accessibility Ltd,1,0,0,1,100
Hands of Light Academy,1,0,0,1,100
HM Revenue  Customs,1,1,0,0,0
HM YOI Glen Parva,1,0,0,1,100
HM Youth Offenders Institute Hindley,1,1,0,0,0
HMP Bullingdon,1,0,0,1,100
HMP Cookham Wood,1,0,0,1,100
Haddon Court Limited,1,0,0,1,100
Dispensing Doctors Association,1,1,0,0,0
Divine Health Services,1,1,0,0,0
Dolby Vivisol,1,0,0,1,100
Donneybrook Medical Centre,1,0,0,1,100
Cumbria Health,1,0,0,1,100
Cygnet Hospital,1,1,0,0,0
Countess of Chester Hospital NHS Foundation Trust,1,1,0,0,0
Countrywide Care Homes,1,1,0,0,0
Coventry University,1,0,0,1,100
Cowes Week Limited,1,0,0,1,100
GS Halls Limited,1,1,0,0,0
Crawley Borough Council,1,0,0,1,100
Dorset Health Care University NHS Foundation Trust,1,1,0,0,0
Dorset Highways Management,1,0,0,1,100
Dorset and Wiltshire Fire and Rescue Service,1,1,0,0,0
Derwent Students,1,0,0,1,100
Darlington Farmers Auction Mart,1,1,0,0,0
Darlington Memorial Hospital,1,1,0,0,0
Darwin Medical Practice,1,0,0,1,100
David Ake & Co Solicitors,1,0,0,1,100
Davyhulme Medical Centre,1,0,0,1,100
Decathlon UK,1,1,0,0,0
Coxbench Hall Residential Home,1,0,0,1,100
Elizabeth House Oldham Limited,1,1,0,0,0
EAM Care Group,1,0,0,1,100
EFAS,1,1,0,0,0
EKO-INVEST,1,1,0,0,0
ENT,1,1,0,0,0
EURO-EKO,1,1,0,0,0
Each Step Nursing Home,1,0,0,1,100
East Anglia Team,1,1,0,0,0
East Midlands Local Education and Training Board,1,1,0,0,0
East Staffordshire Borough Council,1,0,0,1,100
East Suffolk Council,1,0,0,1,100
Directorate for Business Innovation and Skills,1,1,0,0,0
Downham Grange Care Home,1,0,0,1,100
Downshaw Lodge,1,0,1,0,0
Drager,1,0,0,1,100
Drayton Manor Theme Park,1,1,0,0,0
Drug and Alcohol Team Devon,1,1,0,0,0
Duchy of Cornwall,1,1,0,0,0
Dudley Integrated Health and Care NHS Trust,1,0,0,1,100
Dudley and Walsall NHS Mental Health Trust,1,1,0,0,0
Dulwich Dive Club,1,0,0,1,100
Durham Constabulary,1,0,0,1,100
Directorate South West,1,1,0,0,0
Dovecote Lodge,1,1,0,0,0
Abbotsbury Residential Care Home,1,1,0,0,0
Abbotswood,1,1,0,0,0
Able Care and Support Services Ltd,1,0,0,1,100
Acis Housing,1,0,0,1,100
Acorn Lodge Care Home,1,1,0,0,0
Adams Pharmacy,1,1,0,0,0
Wychall Lane Surgery,1,0,0,1,100
ADAPT,1,1,0,0,0
AGCO Ltd,1,1,0,0,0
AGD Equipment Limited,1,1,0,0,0
Crown Care,1,1,0,0,0
AR1 Homecare Limited,1,0,0,1,100
Abbey Court Independent Hospital,1,1,0,0,0
Abbey Wood Lodge Care Home,1,1,0,0,0
Abbeydale Residential Home,1,0,0,1,100
Abbeyfield The Dales,1,0,0,1,100
Youngman,1,1,0,0,0
Your Health Limited,1,0,0,1,100
Your Housing,1,1,0,0,0
Zelltec Limited,1,1,0,0,0
ADL PLC,1,1,0,0,0
Windmill House Care Home,1,0,0,1,100
APEX Nursing Agency,1,1,0,0,0
Croydon Council,1,1,0,0,0
Cruise and Maritime Services International Limited,1,1,0,0,0
Crystal Care Limited,1,1,0,0,0
Cuerden care Homes,1,1,0,0,0
Cumbria Clinical Commissioning Group,1,1,0,0,0
Digital,1,0,0,1,100
Digsafe Suction Excavations Limited,1,1,0,0,0
Dinnington Group Practice,1,1,0,0,0
Diocese of Westminster,1,1,0,0,0
Director of Housing,1,1,0,0,0
Director of Public Prosecutions,1,1,0,0,0
Dalmeny Hotel,1,0,0,1,100
Delamere Medical Practice,1,0,0,1,100
Dennis Eagle Ltd,1,0,0,1,100
Denton Medical Centre,1,1,0,0,0
Depaul UK,1,0,0,1,100
Derby City Council,1,0,0,1,100
Cyngor Bwrdeistref Sirol Pen-y-Bont ar Ogwr,1,0,0,1,100
Cyngor Sir Ceredigion County Council,1,0,0,1,100
DAF Trucks Ltd,1,0,0,1,100
DHL Supply Chain UK,1,0,0,1,100
DVLA Longview Road,1,1,0,0,0
Dairy Lane Care Centre,1,1,0,0,0
Deerlands Residential Home,1,0,0,1,100
First Class Care,1,0,0,1,100
First Essex Buses,1,0,0,1,100
First Response Group,1,1,0,0,0
First South Yorkshire Limited,1,0,0,1,100
FirstPort Property Services,1,0,0,1,100
Fisher and Paykel,1,1,0,0,0
Fitness First,1,1,0,0,0
Fitzalan Medical Group,1,1,0,0,0
Flintshire County Council,1,1,0,0,0
Floron Residential Home,1,1,0,0,0
Eldercare,1,1,0,0,0
FA Group,1,1,0,0,0
FALCON CRANE HIRE LIMITED,1,1,0,0,0
Faculty of Physician Associates,1,1,0,0,0
Fairfield View Care Centre,1,0,0,1,100
Fairlight Nursing Home,1,1,0,0,0
Family Mosaic,1,1,0,0,0
Farleys Solicitors LLP,1,1,0,0,0
Farnham Medical Centre,1,1,0,0,0
Federation of British Tour Operators,1,1,0,0,0
Federation of Piling Specialists,1,1,0,0,0
Fell Runners Association,1,1,0,0,0
Exora Medical Limited,1,0,0,1,100
GTD Healthcare,1,1,0,0,0
Gambling Commission,1,0,0,1,100
Garage Equipment Association,1,1,0,0,0
Gas Safe Register,1,1,0,0,0
Gateshead Council,1,0,0,1,100
Gender Identity Clinic,1,0,0,1,100
General Chiropractic Council,1,1,0,0,0
Food and Drink Federation,1,0,0,1,100
Football Association,1,1,0,0,0
Ford UK,1,1,0,0,0
Forest of Marston Vale,1,0,0,1,100
First Aid Cover Limited,1,1,0,0,0
Fountain Medical Centre,1,1,0,0,0
Four Season’s Healthcare Home,1,1,0,0,0
Free the Way,1,0,0,1,100
Fremantle Trust,1,1,0,0,0
Fremington Medical Centre,1,0,0,1,100
Friendship Care and Housing Limited,1,1,0,0,0
Frome Nursing Home,1,1,0,0,0
Fernlea Nursing Home,1,0,0,1,100
Festival Republic,1,0,0,1,100
Finchale Abbey Farm,1,0,0,1,100
Fire and Rescue Oxfordshire,1,0,0,1,100
Forestry Commission,1,0,0,1,100
Excel Care,1,1,0,0,0
Elm Tree Court Care Home,1,1,0,0,0
Elmbridge Borough Council,1,1,0,0,0
Eltham Palace Surgery,1,0,0,1,100
Eltham Park Surgery,1,1,0,0,0
Elysium Healthcare,1,0,0,1,100
Emergency Call Prioritisation Advisory Group,1,1,0,0,0
Emergency Call Prioritisation Advisory Group (ECPAG),1,1,0,0,0
Emergency Operation Centre Norwich,1,1,0,0,0
Emirates Airlines,1,1,0,0,0
Emral House Nursery Home,1,1,0,0,0
Fentons,1,1,0,0,0
Endless Street Surgery,1,0,0,1,100
England Boxing,1,0,0,1,100
English Heritage,1,0,0,1,100
English Ice Hockey,1,1,0,0,0
East Surrey Hospital Trust,1,1,0,0,0
Eastgate Residential Care Homes,1,0,0,1,100
Eating Disorder Services for Adults,1,1,0,0,0
Eden Park Surgery,1,1,0,0,0
Edgehill Care Home,1,1,0,0,0
Edgeley Medical Centre,1,0,0,1,100
Egg London Nightclub,1,1,0,0,0
Emsworth Surgery,1,0,0,1,100
Fentons Solicitors,1,1,0,0,0
Fern House Surgery,1,1,0,0,0
Environment Agency Headquarters,1,1,0,0,0
Environmental Services Associations,1,0,0,1,100
Epsom  Ewell Borough Council,1,1,0,0,0
Eschmann Holdings Limited,1,1,0,0,0
Essex Community Rehabilitation Company,1,1,0,0,0
Creative Support Limited,1,1,0,0,0
Credenhill Court Rest Home,1,0,0,1,100
Crescent Pharma Ltd,1,1,0,0,0
Cricket Green Medical Practice,1,0,0,1,100
Evolve Services,1,0,0,1,100
Crossroads House Care Home,1,0,0,1,100
Construction Plant Hire Association,1,1,0,0,0
Consultant Physician and Gastroenterologists,1,1,0,0,0
Consumer Relations and Legal Affairs,1,1,0,0,0
Coombe Dingle Nursing Home,1,1,0,0,0
Cornishway Group Practice,1,0,0,1,100
Cornwall Health,1,0,0,1,100
Ethelbert’s Children’s Services,1,0,0,1,100
European Aviation Authority,1,0,0,1,100
European Care,1,1,0,0,0
European Care Group,1,0,0,1,100
Croft House Rest Home,1,1,0,0,0
Canary Wharf Group PLC,1,0,0,1,100
Canary Wharf Management Limited,1,0,0,1,100
Capita Business Services Ltd,1,0,0,1,100
Capital Karts Trading Ltd,1,0,0,1,100
Bute House Surgery,1,1,0,0,0
Byron Hamburgers,1,1,0,0,0
CAMHS,1,1,0,0,0
CAT,1,1,0,0,0
CLS Care Services,1,0,0,1,100
CMF Limited,1,0,0,1,100
Hugo Boss UK,1,0,0,1,100
Morton Hall Immigration Removal Centre,1,1,0,0,0
Motor Cross Federation,1,0,0,1,100
Motorsport UK,1,1,0,0,0
Moundsley Hall Nursing Home,1,1,0,0,0
Mount Vernon Hospital,1,1,0,0,0
Mundesley Medical Centre,1,1,0,0,0
My Care Ltd,1,1,0,0,0
MiHomecare,1,0,0,1,100
Midgehole Working Mens Club,1,0,0,1,100
Mildmay Medical Practice,1,1,0,0,0
Milestones Trust,1,1,0,0,0
CSC,1,1,0,0,0
CSS Telecare Service,1,1,0,0,0
Cabinet Office,1,1,0,0,0
Cadent Gas Ltd,1,1,0,0,0
Caerphilly County Borough Council,1,1,0,0,0
British Travel Agents,1,0,0,1,100
Broadgate General Practice,1,1,0,0,0
Broadlane View Care Home,1,0,0,1,100
Bromley Council,1,1,0,0,0
Bromley Healthcare,1,1,0,0,0
Bromleys Solicitors,1,1,0,0,0
Brook Medical Centre,1,1,0,0,0
Moorfields Eye Hospital NHS Foundation Trust,1,0,0,1,100
NHS Hertfordshire and West Essex Integrated Care Board,1,0,0,1,100
My The Orchards Ltd,1,1,0,0,0
Mylan Pharmaceuticals,1,1,0,0,0
NHS Black Country Pathological Service,1,1,0,0,0
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1,1,0,0,0
NHS Care Commissioning Group,1,1,0,0,0
NHS Coastal West Sussex CCG,1,0,0,1,100
Ministry of Defence Police,1,1,0,0,0
Mirus Wales,1,0,0,1,100
Monarch Healthcare Ltd,1,1,0,0,0
Moorfield House Surgery,1,1,0,0,0
Browning Street Surgery,1,0,0,1,100
Metalchem Ltd,1,0,0,1,100
Metropolis,1,1,0,0,0
Mayfield Care Home,1,1,0,0,0
Maylands Health Care,1,1,0,0,0
Meadbank Care Home,1,1,0,0,0
Meade Close Care Home,1,0,0,1,100
MedPure Healthcare,1,0,0,1,100
Medequip UK,1,0,1,0,0
Medical Centre Stalybridge,1,1,0,0,0
Medical Protection Society,1,1,0,0,0
Milford House Care Home,1,1,0,0,0
Medicines and Health Regulatory Authority,1,0,0,1,100
Medico Legal Manager,1,1,0,0,0
Medicspro,1,1,0,0,0
Medway Community Healthcare,1,1,0,0,0
Manchester United Football Club,1,0,0,1,100
Manor Field Surgery,1,0,0,1,100
Manor Park Residential Home,1,1,0,0,0
Mansfield District Council,1,0,0,1,100
Mansfield and Ashfield Clinical Commissioning Group,1,1,0,0,0
Marble Ideas Ltd,1,0,0,1,100
Maria Mallaband Care Group,1,1,0,0,0
Medicine and Healthcare Products Regulatory Agency,1,1,0,0,0
Military Aviation Authority,1,1,0,0,0
Mill View Nursing Home,1,1,0,0,0
Millbrook Healthcare Limited,1,1,0,0,0
Medway Council,1,0,0,1,100
Medway Youth Offending Team,1,0,0,1,100
Melbourne Ambulance Station,1,1,0,0,0
Mental Health Care Newton House Limited,1,1,0,0,0
Mercedes-Benz,1,0,0,1,100
Merlin Entertainment Limited,1,1,0,0,0
Carewatch,1,1,0,0,0
Careworld London Limited,1,0,0,1,100
Meta Platforms,1,0,0,1,100
Caring Homes Healthcare Group Limited,1,1,0,0,0
Carlisle Healthcare,1,0,0,1,100
Carlsberg Supply Co Ltd,1,0,0,1,100
Carlton House Rest Home,1,1,0,0,0
Cambridge Nursing Home Ltd,1,1,0,0,0
Cambridgeshire Constabulary,1,1,0,0,0
Camino Healthcare,1,0,0,1,100
Campus Living Villages,1,0,0,1,100
Merseytravel,1,1,0,0,0
Merthyr Tydfil County Borough Council,1,0,0,1,100
Merton Council,1,1,0,0,0
Carillion,1,0,0,1,100
New Court Surgery,1,0,0,1,100
New Park Residential Home,1,1,0,0,0
Newark and Sherwood District Council,1,1,0,0,0
Newbury Park Health Centre,1,1,0,0,0
Newcastle Foundation NHS Trust,1,0,0,1,100
British Society of Interventional Radiology,1,1,0,0,0
British Sub Aqua Club,1,0,0,1,100
British Transplantation Society,1,1,0,0,0
British Board of Agrément,1,0,0,1,100
British Cardiovascular Society,1,1,0,0,0
"NHS Shropshire, Telford and Wrekin Integrated Care Board",1,1,0,0,0
British Drilling Association,1,0,0,1,100
British Gliding Association,1,0,0,1,100
British Hang Gliding and Paragliding Association,1,0,0,1,100
British Healthcare Trades Association,1,0,0,1,100
Newgate Medical Group,1,1,0,0,0
Newham Council,1,1,0,0,0
Newham Social Care,1,0,0,1,100
Newmarket Promotions Limited,1,1,0,0,0
Newport City Council,1,1,0,0,0
Next Stage,1,0,0,1,100
Niche Technology,1,1,0,0,0
British Diving Safety Group,1,0,0,1,100
Northamptonshire County Council,1,1,0,0,0
Northamptonshire Police,1,0,0,1,100
Northern Care Limited,1,1,0,0,0
Northern Gas Network,1,1,0,0,0
Northern General Hospital,1,0,0,1,100
North East Lincolnshire Council,1,0,0,1,100
North Essex Partnership NHS Foundation Trust,1,1,0,0,0
North Lincolnshire and Goole Hospitals NHS Trust,1,0,0,1,100
North London Forensic Service,1,0,0,1,100
North London Mental Health Partnership,1,0,1,0,0
North Staffordshire Combined Healthcare NHS Trust,1,1,0,0,0
North East Ambulance Trust,1,1,0,0,0
North Wales Constabulary,1,1,0,0,0
North Wales Police,1,0,0,1,100
Nightingale Home Help Service,1,0,0,1,100
Nightingale Hospital,1,0,0,1,100
Norfolk Community Health and Care NHS Trust,1,1,0,0,0
Norfolk Police,1,1,0,0,0
Normanton Village View Nursing Home,1,1,0,0,0
North Devon County Council,1,1,0,0,0
North Devon District Council,1,1,0,0,0
North Devon District Hospital,1,1,0,0,0
North Devon Healthcare NHS Trust,1,1,0,0,0
North Tees and Hartlepool NHS Trust,1,1,0,0,0
Bryntirion Surgery,1,1,0,0,0
Bucher Municipal Ltd,1,0,0,1,100
Buckinghamshire Council,1,0,0,1,100
Buckinghamshire Healthcare NHS Trust,1,1,0,0,0
Bureau Veritas UK Ltd,1,1,0,0,0
Burton Croft Surgery,1,0,0,1,100
British Mountaineering Council,1,0,0,1,100
British Obesity and Metabolic Surgery Society,1,1,0,0,0
British Oxygen,1,1,0,0,0
British Precast Concrete Federation,1,0,0,1,100
British Retail Consortium,1,0,0,1,100
Zinnia Healthcare Limited,1,0,0,1,100
British Society for Dermatological Surgery,1,1,0,0,0
Nant y Gaer Hall Nursing Home,1,0,0,1,100
National Autistic Society,1,1,0,0,0
National Care Consortium Ltd,1,0,1,0,0
National Coasteering Charter,1,0,0,1,100
NHS Lincolnshire West Clinical Commissioning Group,1,1,0,0,0
NHS Mid and South Essex Integrated Care Board,1,1,0,0,0
NHS Midlands and Lancashire Commissioning Support Unit,1,1,0,0,0
NHS North Central London Integrated Care Board,1,1,0,0,0
NHS North Norfolk Clinical Commissioning Group,1,1,0,0,0
NHS North Western Deanery,1,1,0,0,0
British Skydiving,1,0,0,1,100
National Referral Support Service,1,0,0,1,100
National Research Ethics Service,1,1,0,0,0
National Rifle Association,1,0,0,1,100
National Small-bore Rifle Association,1,1,0,0,0
National Society for the Prevention of Cruelty to Children,1,1,0,0,0
National Tree Safety Group,1,1,0,0,0
National Water Safety Forum,1,0,0,1,100
NaturPlus UK,1,0,0,1,100
Neasham Road Surgery,1,0,0,1,100
Network Homes,1,0,0,1,100
National Confidential Inquiry into Suicide and Safety in Mental Health,1,1,0,0,0
Brunswick Retirement Village,1,1,0,0,0
National Diving and Activity Centre,1,0,0,1,100
National Express West Midlands,1,0,0,1,100
National Grid,1,1,0,0,0
National Infusion and Vascular Access Society,1,0,0,1,100
National Institute for Cardiovascular Outcomes Research,1,1,0,0,0
National Open College Network,1,1,0,0,0
National Pharmacy Association,1,0,0,1,100
National Plant Operators Registration Scheme,1,1,0,0,0
National Police Air Service,1,0,0,1,100
NHS Suffolk and North East Essex Integrated Care Board,1,0,0,1,100
NSL Care Services,1,1,0,0,0
National Counter Terrorism Security Office,1,1,0,0,0
Kindandental,1,0,0,1,100
King Street Medical Centre,1,1,0,0,0
JD Wetherspoon PLC,1,0,0,1,100
JV Ltd,1,0,0,1,100
