sent_to,no. PFDs,overdue,pending,received,% received
The Showmen’s Guild of Great Britain,1,1,0,0,0
The Stockton Public House,1,1,0,0,0
The Student Health Service,1,1,0,0,0
The Pipeline Industries Guild,1,0,0,1,100
The Trading Standards Institute,1,1,0,0,0
The Village Medical Centre,1,1,0,0,0
The Wallich Centre,1,0,0,1,100
The Waterfield Practice,1,1,0,0,0
The Motor Ombudsman,1,1,0,0,0
The North Shore Surgery,1,1,0,0,0
The Oaks and Woodcroft Care Home,1,0,0,1,100
The Park Surgery Heanor,1,0,0,1,100
The Peak District National Park Authority,1,0,0,1,100
The Peligoni Club,1,1,0,0,0
The Phoenix Partnership,1,0,0,1,100
The Surgery Chesterton,1,1,0,0,0
The Black Country Family Practice,1,1,0,0,0
The Borchardt Medical Centre,1,1,0,0,0
The Brinnington Surgery,1,0,1,0,0
The British Army,1,1,0,0,0
The British Retail Consortium,1,1,0,0,0
The British Thoracic Society,1,0,0,1,100
The Caravan Club,1,1,0,0,0
The Chartered Society of Forensic Scientists,1,1,0,0,0
The Chief Executive of the Energy and Utilities Skills,1,1,0,0,0
TLC Nursing and Care,1,0,0,1,100
The Manor Residential and Nursing Care Home,1,0,0,1,100
TPP LTD,1,0,0,1,100
TUI Group,1,1,0,0,0
Tadworth Grove Care Home,1,1,0,0,0
Tanglewood Cloverleaf Care Home,1,0,0,1,100
Taunton Couthy Hall,1,1,0,0,0
Tavistock and Portman NHS Foundation Trust,1,0,0,1,100
Telford and Wrekin Council,1,1,0,0,0
Templemore Care Home,1,1,0,0,0
Tendring District Council,1,1,0,0,0
Terex Global Gmbh,1,0,0,1,100
Tettenhall Medical Practice,1,0,0,1,100
TPP,1,0,0,1,100
The Moat Surgery,1,0,0,1,100
The Monkstone House Care Home,1,1,0,0,0
The Children’s Guardian,1,1,0,0,0
The Church Inn Robinsons Brewery,1,1,0,0,0
The City of Westminster,1,1,0,0,0
The Clatterbridge Cancer Centre NHS Foundation Trust,1,0,0,1,100
The Cotswold Hunt,1,1,0,0,0
The Council of Hunting,1,1,0,0,0
The County Surveyor,1,1,0,0,0
The Crossings Hostel Hull,1,1,0,0,0
The Bexley Medical Group,1,0,0,1,100
The Droylsden Road Family GP Practice,1,0,0,1,100
The Evergreen Surgery,1,1,0,0,0
The Freight Transport Association Ltd,1,1,0,0,0
The Glass and Glazing Federation,1,1,0,0,0
The Grange Care Centre,1,0,0,1,100
Thames Water,1,0,0,1,100
The 700 Club,1,0,0,1,100
The Alexandra Court Care Home,1,0,0,1,100
The Association of Pallet Networks,1,1,0,0,0
The Avenues Trust Group,1,1,0,0,0
The Beaufort Road Surgery,1,0,0,1,100
The Difficult Airway Society,1,1,0,0,0
HM Prison Hindley,1,1,0,0,0
HM Prison Humber,1,1,0,0,0
HM Prison Lancaster Farms,1,1,0,0,0
Company Chemists’ Association,1,0,0,1,100
Compass Wellbeing,1,0,0,1,100
Compliance Manager,1,1,0,0,0
Compton Lodge Care Home,1,0,0,1,100
Confederation of British Industry,1,0,0,1,100
Congenital Heart Services Clinical Reference Group,1,1,0,0,0
Connaught House Care Home,1,1,0,0,0
National Research Ethics Service,1,1,0,0,0
HICA Group,1,0,0,1,100
HM Inspectorate of Probation,1,1,0,0,0
HM Prison Altcourse,1,1,0,0,0
HM Prison Berwyn,1,1,0,0,0
HM Prison Bristol,1,1,0,0,0
HM Prison Bullingdon,1,0,0,1,100
Greenbrook Healthcare,1,0,0,1,100
Greenrod Place,1,1,0,0,0
Grosvenor Park Care Home,1,1,0,0,0
Guest Medical,1,1,0,0,0
HF Trust Limited,1,0,0,1,100
HM Prison Styal,1,1,0,0,0
HM Prison Swinfen Hall,1,1,0,0,0
HM Prison Leicester,1,0,0,1,100
HM Prison Lincoln,1,1,0,0,0
HM Prison Liverpool,1,1,0,0,0
HM Prison Lowdham Grange,1,1,0,0,0
HM Prison North Sea Camp,1,1,0,0,0
HM Prison Northumberland,1,0,0,1,100
HM Prison Parc,1,1,0,0,0
Clevedon Medical Centre,1,1,0,0,0
HM Prison Highpoint,1,1,0,0,0
Cleveland Police Roads Policing Unit,1,1,0,0,0
Clevermed Limited,1,0,0,1,100
Clifton Court Nursing Home,1,0,0,1,100
HM Prison Dartmoor,1,0,0,1,100
HM Prison Doncaster,1,1,0,0,0
HM Prison Downview,1,1,0,0,0
HM Prison Featherstone,1,0,0,1,100
HM Prison Forest Bank,1,1,0,0,0
HM Prison Frankland,1,1,0,0,0
HM Prison Grendon,1,1,0,0,0
HM Prison High Down,1,1,0,0,0
Cleveland Police,1,1,0,0,0
Gas Safe Register,1,1,0,0,0
Gateshead Council,1,0,0,1,100
Gender Identity Clinic,1,0,0,1,100
General Chiropractic Council,1,1,0,0,0
General Council,1,0,0,1,100
General Optical Council,1,0,0,1,100
Glebelands Care Team,1,1,0,0,0
Glenholme Holdingham Grange Care Home,1,0,0,1,100
Glenroyd Medical Practice,1,1,0,0,0
Globe Court Care Home,1,0,0,1,100
Guinness Care,1,1,0,0,0
Gloucestershire Police,1,1,0,0,0
Gloucestershire Social Services,1,1,0,0,0
Goals Soccer Centres PLC,1,1,0,0,0
Godfrey Care,1,0,0,1,100
Consumer Relations and Legal Affairs,1,1,0,0,0
Coombe Dingle Nursing Home,1,1,0,0,0
Cornishway Group Practice,1,0,0,1,100
Cornwall Health,1,0,0,1,100
Coronary Heart Disease Review,1,1,0,0,0
Coronary Heart Disease Review’s Clinical Advisory Panel,1,1,0,0,0
Gloucestershire Constabulary,1,0,0,1,100
Gwern Alyn House Residential Home,1,0,0,1,100
HAE Ltd,1,1,0,0,0
HCRG Care Services Ltd,1,1,0,0,0
Collingwood Nursing Home,1,1,0,0,0
Colton Lodges Nursing Home,1,1,0,0,0
Comfort Call Limited,1,0,0,1,100
"Commissioning Manager, Drug and Alcohol Action Team",1,0,0,1,100
Community Mental Health Recovery Services,1,0,0,1,100
Government Legal Department,1,0,0,1,100
"Government of Nepal Ministry of Culture, Tourism and Civil Aviation",1,1,0,0,0
Green Surgery,1,0,0,1,100
Grange Clinic,1,1,0,0,0
Grasmere Surgery,1,0,0,1,100
Grassy Meadow Care Centre,1,0,0,1,100
Gravesham Borough Council,1,0,0,1,100
Gray’s Inn Road Medical Centre,1,1,0,0,0
Great Western Railway,1,0,0,1,100
Great Yarmouth Borough Council,1,0,0,1,100
Greater Manchester Medicines Management Group,1,0,0,1,100
Greater Manchester Neurorehabilitation Integrated Stroke Delivery Network,1,1,0,0,0
Green Lane Care Homes Limited,1,1,0,0,0
Green Porch Medical Centre,1,0,0,1,100
Grange Care Home,1,1,0,0,0
Holme Farm,1,0,0,1,100
Holmes Care Group Limited,1,1,0,0,0
Holmleigh Care Homes Ltd,1,0,0,1,100
Holy Cross Hospital,1,0,0,1,100
Home Affairs,1,1,0,0,0
Healthcare Homes,1,1,0,0,0
Healthcare Management Solutions Ltd,1,1,0,0,0
Healthcare Quality Improvement Partnership,1,0,0,1,100
Heathcotes Group,1,0,0,1,100
Heathrow Airport,1,0,0,1,100
HM Prison Spring Hill,1,0,0,1,100
Heaton Norris Health Centre,1,1,0,0,0
Hereford Medical Group,1,0,0,1,100
Heritage Attractions Ltd,1,1,0,0,0
Herries Lodge Care Home,1,1,0,0,0
Herts Urgent care Limited,1,1,0,0,0
Hewett School,1,1,0,0,0
Heywood Health,1,1,0,0,0
Harden & Bingley Park Ltd,1,0,0,1,100
Harmoni,1,0,0,1,100
Harmoni South East,1,1,0,0,0
Heaton Medical Centre,1,1,0,0,0
Home Group,1,1,0,0,0
Home Instead Senior Care,1,1,0,0,0
Honda UK,1,1,0,0,0
Hopwood House Medical Practice,1,0,0,1,100
Hotel Riu Oliva Beach Resort,1,1,0,0,0
Hoults Limited,1,1,0,0,0
House of Commons,1,1,0,0,0
Hugo Boss UK,1,0,0,1,100
Hull City Council,1,1,0,0,0
Chief Constables,1,1,0,0,0
Hirst Electrical Plant Hire Services UK Ltd,1,0,0,1,100
Chief Midwife,1,0,1,0,0
High Commissioner for Saint Lucia to the UK,1,1,0,0,0
High St Surgery,1,1,0,0,0
Highgrove Rest Home,1,0,0,1,100
Highlands and Trafalgar Square Surgery,1,0,0,1,100
Hillbrook Grange Residential Care Home,1,0,0,1,100
Hillingdon Council,1,0,0,1,100
Hilltops Medical Centre,1,1,0,0,0
Hilton Hotel,1,0,0,1,100
Himalayan Encounters,1,1,0,0,0
Hindley Health Centre Pharmacy,1,1,0,0,0
Chief Coroner of England and Wales,1,1,0,0,0
HM Prison The Mount,1,1,0,0,0
HM Prison Wayland,1,1,0,0,0
HM Revenue and Customs,1,1,0,0,0
HR Healthcare Ltd,1,1,0,0,0
HSB Engineering Insurance Services Limited,1,1,0,0,0
HSE Soilmec Limited,1,1,0,0,0
Hackney Alcohol Recovery Centre,1,1,0,0,0
Haddon Court Limited,1,0,0,1,100
Hainault Surgery,1,1,0,0,0
Halfords Group PLC,1,1,0,0,0
Harrogate and District NHS Foundation Trust,1,1,0,0,0
Hamilton Community Homes Ltd,1,0,0,1,100
Church Lane Surgery,1,0,0,1,100
Clifton Suspension Bridge Trust,1,0,0,1,100
"Clinical, Commissioning Group",1,0,0,1,100
Clinisys UK,1,1,0,0,0
Clough Williams-Ellis Trust,1,0,1,0,0
Coal Authority,1,0,0,1,100
Coed Duon Care Home,1,0,0,1,100
Collaborative Mobility UK,1,1,0,0,0
College of Clinical Perfusion Scientists,1,1,0,0,0
Hamerton Zoological Park,1,1,0,0,0
Harry Sotnick House,1,1,0,0,0
Hart Care Nursing and Residential Home,1,0,0,1,100
Hartlepool Borough Council,1,0,0,1,100
Haughton Thornley Medical Centres,1,0,0,1,100
Haulage Contractors Limited,1,1,0,0,0
Haven Day Care Centre,1,1,0,0,0
Hawthorn Green Care Home,1,1,0,0,0
Hazelmere Medical Centre,1,0,0,1,100
Head of Safeguarding,1,1,0,0,0
Health Education East of England,1,0,0,1,100
Happy at Home Community Care Services Ltd,1,1,0,0,0
Church of England,1,0,0,1,100
Churchers Solicitors,1,1,0,0,0
City Health Care Partnership,1,0,0,1,100
City and County Healthcare Group,1,0,0,1,100
City and Hackney GP Confederation,1,1,0,0,0
City of Westminster,1,0,0,1,100
City of York Council,1,1,0,0,0
Clacton Community Practices,1,0,0,1,100
Cleric Computer Services,1,0,0,1,100
Handicare Accessibility Ltd,1,0,0,1,100
Hands of Light Academy,1,0,0,1,100
Health Education and Improvement Wales,1,0,0,1,100
Dulwich Dive Club,1,0,0,1,100
Durham Constabulary,1,0,0,1,100
EAM Care Group,1,0,0,1,100
EFAS,1,1,0,0,0
EKO-INVEST,1,1,0,0,0
ENT,1,1,0,0,0
EURO-EKO,1,1,0,0,0
Directorate South West,1,1,0,0,0
Dispensing Doctors Association,1,1,0,0,0
Divine Health Services,1,1,0,0,0
Cosmetic Toiletry and Perfume Association,1,1,0,0,0
Donneybrook Medical Centre,1,0,0,1,100
Dorset Highways Management,1,0,0,1,100
Dorset and Wiltshire Fire and Rescue Service,1,1,0,0,0
Dovecote Lodge,1,1,0,0,0
Downham Grange Care Home,1,0,0,1,100
Downshaw Lodge,1,1,0,0,0
Drager,1,0,0,1,100
Drayton Manor Theme Park,1,1,0,0,0
Driver Vehicle Standards Agency,1,0,1,0,0
Drug and Alcohol Team Devon,1,1,0,0,0
Dolby Vivisol,1,0,0,1,100
Emral House Nursery Home,1,1,0,0,0
Coventry University,1,0,0,1,100
Cowes Week Limited,1,0,0,1,100
Coxbench Hall Residential Home,1,0,0,1,100
Each Step Nursing Home,1,0,0,1,100
East Anglia Team,1,1,0,0,0
East Coast Community Healthcare Team,1,1,0,0,0
East Midlands Local Education and Training Board,1,1,0,0,0
East Staffordshire Borough Council,1,0,0,1,100
East Suffolk Council,1,0,0,1,100
Duchy of Cornwall,1,1,0,0,0
Eastleigh Borough Council,1,1,0,0,0
Eating Disorder Services for Adults,1,1,0,0,0
Eden Park Surgery,1,1,0,0,0
Edgehill Care Home,1,1,0,0,0
Edgeley Medical Centre,1,0,0,1,100
Cruise and Maritime Services International Limited,1,1,0,0,0
Crystal Care Limited,1,1,0,0,0
Cuerden care Homes,1,1,0,0,0
Cumbria Health,1,0,0,1,100
Cyngor Bwrdeistref Sirol Pen-y-Bont ar Ogwr,1,0,0,1,100
Cyngor Sir Ceredigion County Council,1,0,0,1,100
Eastgate Residential Care Homes,1,0,0,1,100
DHL Supply Chain UK,1,0,0,1,100
Dairy Lane Care Centre,1,1,0,0,0
Dalmeny Hotel,1,0,0,1,100
Darlington Farmers Auction Mart,1,1,0,0,0
999-112 Liaison Committee,1,1,0,0,0
Acorn Lodge Care Home,1,1,0,0,0
Adams Pharmacy,1,1,0,0,0
Adbolton Hall Nursing Home,1,0,0,1,100
Addaction,1,0,0,1,100
Addcounsel,1,0,0,1,100
Darnall Grange Care Home,1,0,1,0,0
Adelaide Medical Centre,1,0,0,1,100
Aden Nursing Home,1,0,0,1,100
Adferiad Recovery,1,0,0,1,100
Adullam Homes Housing Association,1,1,0,0,0
Advanced Health and Care Ltd,1,1,0,0,0
Whitefriars Housing,1,0,0,1,100
Whitelock Development,1,0,0,1,100
Whitepost Healthcare Group,1,1,0,0,0
Woolwich Station Medical Centre,1,1,0,0,0
Wibsey and Queensbury Medical Practice,1,1,0,0,0
Addiction Dependency Solutions,1,0,0,1,100
Darwin Medical Practice,1,0,0,1,100
David Ake & Co Solicitors,1,0,0,1,100
Davyhulme Medical Centre,1,0,0,1,100
Decathlon UK,1,1,0,0,0
Deerlands Residential Home,1,0,0,1,100
Delamere Medical Practice,1,0,0,1,100
Dennis Eagle Ltd,1,0,0,1,100
Denton Medical Centre,1,1,0,0,0
Digital,1,0,0,1,100
Digsafe Suction Excavations Limited,1,1,0,0,0
DAF Trucks Ltd,1,0,0,1,100
Director of Housing,1,1,0,0,0
Director of Public Prosecutions,1,1,0,0,0
Worcestershire Safeguarding Children’s Board,1,0,0,1,100
Worthing Homes,1,1,0,0,0
Wychall Lane Surgery,1,0,0,1,100
Ynys Mon County Council,1,0,0,1,100
York House Surgery,1,1,0,0,0
York Road Pharmacy,1,1,0,0,0
Depaul UK,1,0,0,1,100
Derby City Council,1,0,0,1,100
Derwent Students,1,0,0,1,100
Dinnington Group Practice,1,1,0,0,0
First Essex Buses,1,0,0,1,100
First Response Group,1,1,0,0,0
First South Yorkshire Limited,1,0,0,1,100
FirstPort Property Services,1,0,0,1,100
Fisher and Paykel,1,1,0,0,0
Fitness First,1,1,0,0,0
Fitzalan Medical Group,1,1,0,0,0
Flintshire County Council,1,1,0,0,0
Floron Residential Home,1,1,0,0,0
Food and Drink Federation,1,0,0,1,100
Emirates Airlines,1,1,0,0,0
Forest of Marston Vale,1,0,0,1,100
FALCON CRANE HIRE LIMITED,1,1,0,0,0
Faculty of Physician Associates,1,0,0,1,100
Fairfield View Care Centre,1,0,0,1,100
Fairlight Nursing Home,1,1,0,0,0
Family Mosaic,1,1,0,0,0
Farleys Solicitors LLP,1,1,0,0,0
Farnham Medical Centre,1,1,0,0,0
Federation of British Tour Operators,1,1,0,0,0
Federation of Piling Specialists,1,1,0,0,0
Ford UK,1,1,0,0,0
Council of Psychotherapy,1,1,0,0,0
Countess of Chester Hospital NHS Foundation Trust,1,1,0,0,0
Countrywide Care Homes,1,1,0,0,0
GS Halls Limited,1,1,0,0,0
Gambling Commission,1,0,0,1,100
Garage Equipment Association,1,1,0,0,0
Forestry Commission,1,0,0,1,100
Fountain Medical Centre,1,1,0,0,0
Four Season’s Healthcare Home,1,1,0,0,0
Free the Way,1,0,0,1,100
First Class Care,1,0,0,1,100
Fremington Medical Centre,1,0,0,1,100
Friendship Care and Housing Limited,1,1,0,0,0
Frome Nursing Home,1,1,0,0,0
Future Health and Social Care Association,1,1,0,0,0
GE Healthcare,1,0,0,1,100
GEO Group UK Ltd,1,0,0,1,100
GRS Recovery,1,0,0,1,100
Construction Plant Hire Association,1,1,0,0,0
Consultant Physician and Gastroenterologists,1,1,0,0,0
Fire and Rescue Oxfordshire,1,0,0,1,100
First Aid Cover Limited,1,1,0,0,0
Fremantle Trust,1,1,0,0,0
Creative Support Limited,1,1,0,0,0
Credenhill Court Rest Home,1,0,0,1,100
Crescent Pharma Ltd,1,1,0,0,0
Cricket Green Medical Practice,1,0,0,1,100
Croft House Rest Home,1,1,0,0,0
Crossroads House Care Home,1,0,0,1,100
Crown Care,1,1,0,0,0
Emsworth Surgery,1,0,0,1,100
Endless Street Surgery,1,0,0,1,100
England Boxing,1,0,0,1,100
Fell Runners Association,1,1,0,0,0
English Football League,1,1,0,0,0
Egg London Nightclub,1,1,0,0,0
Eldercare,1,1,0,0,0
Elizabeth House Oldham Limited,1,1,0,0,0
Elm Tree Court Care Home,1,1,0,0,0
Elmbridge Borough Council,1,1,0,0,0
Eltham Palace Surgery,1,0,0,1,100
Eltham Park Surgery,1,1,0,0,0
Emergency Call Prioritisation Advisory Group,1,1,0,0,0
Emergency Call Prioritisation Advisory Group (ECPAG),1,1,0,0,0
England and Wales Cricket Board,1,1,0,0,0
Fentons,1,1,0,0,0
Fentons Solicitors,1,1,0,0,0
Fern House Surgery,1,1,0,0,0
Fernlea Nursing Home,1,0,0,1,100
Festival Republic,1,0,0,1,100
Finchale Abbey Farm,1,0,0,1,100
English Heritage,1,0,0,1,100
English Ice Hockey,1,1,0,0,0
Environmental Services Associations,1,0,0,1,100
Epsom  Ewell Borough Council,1,1,0,0,0
Crawley Borough Council,1,0,0,1,100
Eschmann Holdings Limited,1,1,0,0,0
Essex Community Rehabilitation Company,1,1,0,0,0
Ethelbert’s Children’s Services,1,0,0,1,100
European Aviation Authority,1,0,0,1,100
European Care,1,1,0,0,0
European Care Group,1,0,0,1,100
Evolve Services,1,0,0,1,100
Excel Care,1,1,0,0,0
Executives’ Association of Great Britain,1,1,0,0,0
Exora Medical Limited,1,0,0,1,100
FA Group,1,1,0,0,0
Erewash Borough Council,1,0,0,1,100
Cabinet Office,1,0,0,1,100
Cadent Gas Ltd,1,1,0,0,0
Caerphilly County Borough Council,1,1,0,0,0
Cambridge Nursing Home Ltd,1,1,0,0,0
Cambridge University Hospitals NHS Foundation Trust,1,1,0,0,0
Canary Wharf Management Limited,1,0,0,1,100
Cannock Chase Hospital,1,0,1,0,0
Capita Business Services Ltd,1,0,0,1,100
Capital Karts Trading Ltd,1,0,0,1,100
Care Agency,1,0,0,1,100
Home Dot Care Limited,1,1,0,0,0
Care First Homes,1,1,0,0,0
Mirus Wales,1,0,0,1,100
Monarch Healthcare Ltd,1,0,0,1,100
Moorfield House Surgery,1,1,0,0,0
Moorfields Eye Hospital NHS Foundation Trust,1,0,0,1,100
Morton Hall Immigration Removal Centre,1,1,0,0,0
Motor Cross Federation,1,0,0,1,100
Meta Platforms,1,0,0,1,100
Metalchem Ltd,1,0,0,1,100
Metropolis,1,1,0,0,0
Care First Class UK Limited,1,0,0,1,100
CAT,1,1,0,0,0
NHS North Central London Integrated Care Board,1,1,0,0,0
NHS North West London Integrated Care Board,1,1,0,0,0
NHS North Western Deanery,1,1,0,0,0
Cambridgeshire Constabulary,1,1,0,0,0
NHS Black Country Pathological Service,1,1,0,0,0
NHS Care Commissioning Group,1,1,0,0,0
NHS Education for Scotland,1,0,0,1,100
NHS Hertfordshire and West Essex Integrated Care Board,1,0,0,1,100
NHS Mid and South Essex Integrated Care Board,1,1,0,0,0
CSS Telecare Service,1,1,0,0,0
Brook Medical Centre,1,1,0,0,0
Browning Street Surgery,1,0,0,1,100
Broxtowe Borough Council,1,0,0,1,100
Moundsley Hall Nursing Home,1,1,0,0,0
Mundesley Medical Centre,1,1,0,0,0
My Care Ltd,1,1,0,0,0
My The Orchards Ltd,1,1,0,0,0
Mylan Pharmaceuticals,1,1,0,0,0
CLS Care Services,1,0,0,1,100
CMF Limited,1,0,0,1,100
CSC,1,1,0,0,0
NHS Midlands and Lancashire Commissioning Support Unit,1,1,0,0,0
Merthyr Tydfil County Borough Council,1,0,0,1,100
Merton Council,1,1,0,0,0
Medical Centre Stalybridge,1,1,0,0,0
Medical Protection Society,1,1,0,0,0
Medical Research Council,1,0,1,0,0
Medical Schools Council,1,0,1,0,0
Medicines and Health Regulatory Authority,1,0,0,1,100
Medico Legal Manager,1,1,0,0,0
Medicspro,1,1,0,0,0
Medway Community Healthcare,1,1,0,0,0
MiHomecare,1,0,0,1,100
Care Inspectorate Wales,1,1,0,0,0
Caremark Limited,1,0,1,0,0
Carewatch,1,1,0,0,0
Careworld London Limited,1,0,0,1,100
Mansfield District Council,1,0,0,1,100
Marble Ideas Ltd,1,0,0,1,100
Maria Mallaband Care Group,1,1,0,0,0
Marks and Spencer,1,0,0,1,100
Martin-Baker Aircraft Company,1,1,0,0,0
Masta Limited,1,1,0,0,0
Care Inn Limited,1,1,0,0,0
Midgehole Working Mens Club,1,0,0,1,100
Mildmay Medical Practice,1,1,0,0,0
Milestones Trust,1,1,0,0,0
Milford House Care Home,1,1,0,0,0
Military Aviation Authority,1,1,0,0,0
Mill View Nursing Home,1,1,0,0,0
Millbrook Healthcare Limited,1,1,0,0,0
Ministry of Defence Police,1,1,0,0,0
Camino Healthcare,1,0,0,1,100
Campus Living Villages,1,0,0,1,100
Merseytravel,1,1,0,0,0
Carillion,1,0,0,1,100
Caring Homes Healthcare Group Limited,1,1,0,0,0
Carlisle Healthcare,1,0,0,1,100
Carlsberg Supply Co Ltd,1,0,0,1,100
Carlton House Rest Home,1,1,0,0,0
Carmarthenshire County Council,1,1,0,0,0
Carrington Doors,1,1,0,0,0
Medway Council,1,0,0,1,100
Mental Health Care Newton House Limited,1,1,0,0,0
Mercedes-Benz,1,0,0,1,100
Merlin Entertainment Limited,1,1,0,0,0
Canary Wharf Group PLC,1,0,0,1,100
British Skydiving,1,0,0,1,100
Norfolk Community Health and Care NHS Trust,1,1,0,0,0
Norfolk Police,1,1,0,0,0
NaturPlus UK,1,0,0,1,100
Neasham Road Surgery,1,1,0,0,0
Network Homes,1,0,0,1,100
New Court Surgery,1,0,0,1,100
New Park Residential Home,1,1,0,0,0
Newark and Sherwood District Council,1,1,0,0,0
Newbury Park Health Centre,1,1,0,0,0
CAMHS,1,1,0,0,0
Newmarket Promotions Limited,1,1,0,0,0
Newport City Council,1,1,0,0,0
Next Stage,1,0,0,1,100
Niche Technology,1,1,0,0,0
Nightingale Home Help Service,1,0,0,1,100
National Institute for Cardiovascular Outcomes Research,1,1,0,0,0
National Institute for Health and Care Research,1,0,1,0,0
National Open College Network,1,1,0,0,0
National Pharmaceutical Association,1,1,0,0,0
National Pharmacy Association,1,0,0,1,100
Newgate Medical Group,1,1,0,0,0
Normanton Village View Nursing Home,1,1,0,0,0
North East Lincolnshire Council,1,0,0,1,100
North Tees and Hartlepool NHS Trust,1,1,0,0,0
North Wales Constabulary,1,1,0,0,0
North Wales Police,1,0,0,1,100
North West Fire Control,1,0,0,1,100
North of England Care System Support,1,1,0,0,0
Northampton General Hospital NHS Trust,1,1,0,0,0
Northamptonshire County Council,1,1,0,0,0
Northamptonshire Police,1,0,0,1,100
British Retail Consortium,1,0,0,1,100
Non-Executive Directors’ Association,1,1,0,0,0
British Horseracing Authority,1,0,0,1,100
British Industrial Truck Association,1,1,0,0,0
British Kitesurfing Association,1,0,0,1,100
British Maternal and Fetal Medicine Society,1,1,0,0,0
British Mountaineering Council,1,0,0,1,100
British Obesity and Metabolic Surgery Society,1,1,0,0,0
British Oxygen,1,1,0,0,0
British Ports Association,1,0,1,0,0
British Precast Concrete Federation,1,0,0,1,100
British Psychological Society,1,0,0,1,100
Nightingale Hospital,1,0,0,1,100
National Infusion and Vascular Access Society,1,0,0,1,100
NHS Nottingham,1,1,0,0,0
"NHS Shropshire, Telford and Wrekin Integrated Care Board",1,1,0,0,0
NHS Specialist Pharmacy Service,1,1,0,0,0
NSL Care Services,1,1,0,0,0
Nant y Gaer Hall Nursing Home,1,0,0,1,100
National Autistic Society,1,1,0,0,0
National Care Consortium Ltd,1,1,0,0,0
National Coasteering Charter,1,0,0,1,100
National Confidential Inquiry into Suicide and Safety in Mental Health,1,1,0,0,0
National Plant Operators Registration Scheme,1,1,0,0,0
British Society for Dermatological Surgery,1,0,0,1,100
Brunswick Retirement Village,1,1,0,0,0
Bryntirion Surgery,1,1,0,0,0
Bucher Municipal Ltd,1,0,0,1,100
Buckinghamshire Council,1,0,0,1,100
Buckinghamshire Healthcare NHS Trust,1,1,0,0,0
Bureau Veritas UK Ltd,1,1,0,0,0
Burton Croft Surgery,1,0,0,1,100
Bute House Surgery,1,1,0,0,0
Byron Hamburgers,1,1,0,0,0
National Counter Terrorism Security Office,1,1,0,0,0
National Police Air Service,1,0,0,1,100
National Rail,1,0,0,1,100
National Referral Support Service,1,0,0,1,100
Widnes Hall Care Home,1,1,0,0,0
National Rifle Association,1,0,0,1,100
National Small-bore Rifle Association,1,1,0,0,0
National Society for the Prevention of Cruelty to Children,1,1,0,0,0
National Tree Safety Group,1,1,0,0,0
"National Union of Rail, Maritime and Transport Workers",1,1,0,0,0
National Water Safety Forum,1,0,0,1,100
National Grid,1,1,0,0,0
British Sub Aqua Club,1,0,0,1,100
British Transplant Society,1,0,1,0,0
British Transplantation Society,1,1,0,0,0
British Travel Agents,1,0,0,1,100
Broadgate General Practice,1,1,0,0,0
Broadlane View Care Home,1,0,0,1,100
Bromley Council,1,1,0,0,0
Bromley Healthcare,1,1,0,0,0
Bromleys Solicitors,1,1,0,0,0
National Diving and Activity Centre,1,0,0,1,100
National Express West Midlands,1,0,0,1,100
British Society of Interventional Radiology,1,1,0,0,0
Jurys Inn,1,1,0,0,0
Keats House Consulting Rooms London Bridge,1,1,0,0,0
Kendal Calling,1,0,0,1,100
Kennedy Wilson,1,1,0,0,0
Kent Community Health NHS Foundation Trust,1,1,0,0,0
Kent and Medway Cancer Collaborative,1,1,0,0,0
Kent and Medway Mental Health Directorate,1,1,0,0,0
Killick Street Health Centre,1,0,0,1,100
Channel Swimming and Piloting Federation,1,0,0,1,100
Charing Healthcare,1,0,0,1,100
Masters of Foxhounds Association,1,1,0,0,0
JD Wetherspoon PLC,1,0,0,1,100
JV Ltd,1,0,0,1,100
Jaguar Land Rover,1,1,0,0,0
Jeesal Residential Care Services,1,0,0,1,100
Jesta Capital Corporation,1,1,0,0,0
Jet2.com Ltd,1,0,0,1,100
Jewish Free School,1,0,0,1,100
Jockey Club,1,1,0,0,0
John Somerscales Ltd,1,1,0,0,0
John Stanley Agency,1,0,0,1,100
Charity Commission for England and Wales,1,0,0,1,100
Langford Centre,1,0,0,1,100
Langley Health Centre,1,1,0,0,0
Lantra,1,1,0,0,0
Lapal House and Lodge Care Home,1,1,0,0,0
Chartered Institute of Highways and Transportation,1,1,0,0,0
Chartered Institution of Wastes Management,1,0,0,1,100
Chartered Trading Standards Institute,1,1,0,0,0
Chelsfield Surgery,1,1,0,0,0
Chemical Business Association,1,1,0,0,0
Cherish Home Care,1,0,0,1,100
Jubilee Stores,1,1,0,0,0
Cheshire Fire and Rescue Service,1,1,0,0,0
Kindandental,1,0,0,1,100
King Street Medical Centre,1,1,0,0,0
King's Road Medical Centre,1,1,0,0,0
Kingkabs,1,0,1,0,0
Kingston Hospital NHS Foundation Trust,1,1,0,0,0
Kirby Road Surgery,1,1,0,0,0
Knowle House Surgery,1,1,0,0,0
Kockey Road Medical Centre,1,0,0,1,100
Jubilee Court Nursing Home,1,1,0,0,0
Jubilee Gardens Care Centre,1,0,0,1,100
Cherry Orchard Nursing Home,1,1,0,0,0
"Independent Futures, Southwinds Care Home",1,0,0,1,100
Independent Healthcare Providers Network,1,1,0,0,0
Independent Monitoring Board,1,0,0,1,100
Independent Training Standards Scheme and Register,1,1,0,0,0
Indesit Company,1,0,0,1,100
Indian Brasserie,1,1,0,0,0
